"user","x","y","z","class"
"1",-0.190684869885445,5.47537994384766,8.18582916259766,"bike"
"1",-0.299647659063339,5.36641693115234,8.29479217529297,"bike"
"1",-0.122583128511906,5.62520360946655,8.48547649383545,"bike"
"1",-0.299647659063339,5.5707221031189,8.37651348114014,"bike"
"1",-0.476712167263031,5.33917617797852,8.52633762359619,"bike"
"1",-0.245166257023811,5.20297288894653,8.56719875335693,"bike"
"1",-0.190684869885445,4.94418621063232,8.79874420166016,"bike"
"1",-0.0136203477159142,4.99866771697998,8.68978214263916,"bike"
"1",-0.0136203477159142,4.97142696380615,8.68978214263916,"bike"
"1",-0.245166257023811,4.80798292160034,8.79874420166016,"bike"
"1",-0.190684869885445,4.9169454574585,8.85322570800781,"bike"
"1",-0.068101741373539,4.86246395111084,8.79874420166016,"bike"
"1",-0.068101741373539,4.97142696380615,8.74426364898682,"bike"
"1",-0.068101741373539,4.97142696380615,8.79874420166016,"bike"
"1",-0.122583128511906,4.99866771697998,8.68978214263916,"bike"
"1",-0.0136203477159142,4.9169454574585,8.60805988311768,"bike"
"1",-0.068101741373539,4.99866771697998,8.74426364898682,"bike"
"1",0.163444176316261,4.99866771697998,8.25393104553223,"bike"
"1",-0.0136203477159142,4.9169454574585,8.67616176605225,"bike"
"1",0.0953424349427223,4.54919624328613,8.14496803283691,"bike"
"1",0.0953424349427223,5.05314922332764,8.58081912994385,"bike"
"1",0.0408610440790653,5.08038949966431,8.7306432723999,"bike"
"1",0.217925563454628,5.31193542480469,8.56719875335693,"bike"
"1",0.0408610440790653,5.39365768432617,8.6353006362915,"bike"
"1",-0.122583128511906,5.67968511581421,8.30841255187988,"bike"
"1",-0.0136203477159142,5.54348134994507,8.34927272796631,"bike"
"1",-0.354129046201706,5.39365768432617,8.36289310455322,"bike"
"1",-0.190684869885445,5.44813919067383,8.43099498748779,"bike"
"1",-0.122583128511906,5.4208984375,8.36289310455322,"bike"
"1",-0.0817220881581306,5.39365768432617,8.45823574066162,"bike"
"1",-0.245166257023811,5.39365768432617,8.52633762359619,"bike"
"1",-0.245166257023811,5.36641693115234,8.34927272796631,"bike"
"1",-0.245166257023811,5.44813919067383,8.41737461090088,"bike"
"1",-0.245166257023811,5.44813919067383,8.41737461090088,"bike"
"1",-0.245166257023811,5.28469514846802,8.3220329284668,"bike"
"1",-0.408610433340073,5.50262069702148,8.47185611724854,"bike"
"1",-0.122583128511906,5.50262069702148,8.30841255187988,"bike"
"1",-0.190684869885445,5.61158323287964,7.88618135452271,"bike"
"1",-0.299647659063339,5.58434247970581,8.29479217529297,"bike"
"1",-0.367749392986298,4.57643699645996,8.67616176605225,"bike"
"1",0.490332514047623,4.63091802597046,8.51271724700928,"bike"
"1",0.435851126909256,4.88970470428467,8.48547649383545,"bike"
"1",0.939804017543793,5.73416662216187,7.46395063400269,"bike"
"1",1.2258312702179,4.64453840255737,7.72273731231689,"bike"
"1",2.27459812164307,4.03162288665771,6.64672946929932,"bike"
"1",3.02371716499329,3.47318863868713,5.35279655456543,"bike"
"1",3.5412905216217,3.56853103637695,4.84884357452393,"bike"
"1",4.39937210083008,1.72978413105011,4.35851144790649,"bike"
"1",7.02809953689575,0.939804017543793,4.2631688117981,"bike"
"1",8.96218872070312,-0.572054624557495,4.84884357452393,"bike"
"1",10.2152605056763,-3.5412905216217,7.10982131958008,"bike"
"1",12.3945159912109,-4.24954843521118,7.72273731231689,"bike"
"1",16.8075084686279,-3.24164271354675,6.1700177192688,"bike"
"1",16.0039081573486,-1.68892312049866,4.9169454574585,"bike"
"1",8.58081912994385,-2.16563534736633,-0.721878409385681,"bike"
"1",7.72273731231689,-5.03952884674072,-0.204305216670036,"bike"
"1",8.29479217529297,-5.2710747718811,0.980665028095245,"bike"
"1",9.37079906463623,-5.2710747718811,0.817220866680145,"bike"
"1",8.00876426696777,-4.50833511352539,0.544813930988312,"bike"
"1",8.2266902923584,-5.40727806091309,1.78426551818848,"bike"
"1",6.18363809585571,-6.89189577102661,-2.32907938957214,"bike"
"1",7.31412649154663,-7.79083871841431,-0.626536011695862,"bike"
"1",6.68759059906006,-10.3650846481323,2.71044921875,"bike"
"1",6.63310956954956,-11.0597219467163,1.67530274391174,"bike"
"1",6.68759059906006,-7.05534029006958,1.89322829246521,"bike"
"1",5.65244436264038,-6.78293323516846,-0.953424334526062,"bike"
"1",5.88399028778076,-6.10191583633423,-0.626536011695862,"bike"
"1",3.5412905216217,-6.00657320022583,1.07600748538971,"bike"
"1",2.50614404678345,-7.09620094299316,0.926183640956879,"bike"
"1",-1.21221089363098,-5.58434247970581,0.653776705265045,"bike"
"1",0.667397022247314,-19.0957279205322,-0.626536011695862,"bike"
"1",1.36203479766846,-18.1423034667969,-2.1383945941925,"bike"
"1",-1.15772950649261,-9.95647430419922,0.503952860832214,"bike"
"1",-0.926183640956879,-10.1880197525024,0.23154591023922,"bike"
"1",-0.354129046201706,-9.84751129150391,0.980665028095245,"bike"
"1",0.217925563454628,-9.84751129150391,1.08962786197662,"bike"
"1",-0.476712167263031,-10.0381965637207,0.967044711112976,"bike"
"1",-0.708258092403412,-10.0109558105469,0.926183640956879,"bike"
"1",1.36203479766846,-9.69768714904785,0.599295318126678,"bike"
"1",0.503952860832214,-9.95647430419922,0.381369739770889,"bike"
"1",0.463091820478439,-10.256121635437,0.912563323974609,"bike"
"1",0.749119102954865,-9.9428539276123,1.45737719535828,"bike"
"1",0.054481390863657,-9.88837242126465,0.912563323974609,"bike"
"1",0.108962781727314,-9.97009468078613,0.803600490093231,"bike"
"1",1.25307202339172,-9.69768714904785,0.217925563454628,"bike"
"1",0.749119102954865,-10.256121635437,0.054481390863657,"bike"
"1",0.190684869885445,-10.2288808822632,0.435851126909256,"bike"
